1,Gloria,82,42,83,13
2,Clio,5,28,97,96
3,Shellie,51,25,89,94
4,Liberty,55,52,87,50
5,Zane,17,45,6,35
6,Tiger,68,4,75,98
7,Brynne,40,78,2,35
8,Burton,74,97,69,25
9,Troy,65,87,45,38
10,Ifeoma,9,95,23,29
11,Joseph,17,30,100,95
12,Jesse,93,96,10,66
13,Hedley,65,55,56,41
14,Stewart,84,27,95,61
15,Keane,35,78,59,32
16,Adam,70,56,3,43
17,Caleb,86,67,9,27
18,Genevieve,31,3,27,52
19,Kieran,18,21,41,16
20,Charde,89,100,69,18
21,Joseph,27,11,45,77
22,Molly,72,65,92,24
23,Blossom,52,84,51,32
24,Samantha,65,61,76,29
25,TaShya,33,75,27,94
